Team1Ban1,Team2Ban1,Team1Ban2,Team2Ban2,Team1Ban3,Team2Ban3,Team1Pick1,Team2Pick1,Team2Pick2,Team1Pick2,Team1Pick3,Team2Pick3,Team2Ban4,Team1Ban4,Team2Ban5,Team1Ban5,Team2Pick4,Team1Pick4,Team1Pick5,Team2Pick5
Aatrox,Akali,Gragas,Taliyah,Tahm Kench,Alistar,Ryze,Xayah,Rakan,Leona,Kai'Sa,Galio,Yasuo,Camille,Olaf,Skarner,Xin Zhao,Lee Sin,Sion,Swain
Aatrox,Akali,Irelia,Kai'Sa,Tahm Kench,Urgot,Xayah,Gragas,Rakan,Leona,Syndra,Ezreal,Lee Sin,Darius,Camille,Sion,Zoe,Ornn,Olaf,Cho'Gath
Aatrox,Akali,Urgot,Rakan,Tahm Kench,Alistar,Kai'Sa,Varus,Irelia,Thresh,Camille,Braum,Galio,LeBlanc,Syndra,Kindred,Xin Zhao,Lissandra,Sion,Ryze
Aatrox,Cassiopeia,Irelia,Galio,Rakan,Lucian,Urgot,Akali,Alistar,Ezreal,Tahm Kench,Kai'Sa,LeBlanc,Sion,Gragas,Zac,Zoe,Malzahar,Kha'Zix,Lee Sin
Aatrox,Cassiopeia,Irelia,Galio,Rakan,Lucian,Akali,Urgot,Alistar,Ezreal,Tahm Kench,Kai'Sa,LeBlanc,Lee Sin,Malzahar,Lissandra,Zoe,Gragas,Yasuo,Zac
Aatrox,Cassiopeia,Zoe,Akali,Tahm Kench,Lucian,Olaf,Urgot,Ezreal,Kai'Sa,Lissandra,Syndra,Alistar,Camille,Thresh,Lee Sin,Kindred,Yorick,Gragas,Braum
Aatrox,Draven,Zoe,Cassiopeia,Galio,Irelia,Lissandra,Urgot,Akali,Rakan,Kai'Sa,Tahm Kench,Camille,Ezreal,Nocturne,Xayah,Lee Sin,Ryze,Kindred,Lucian
Aatrox,Draven,Zoe,Cassiopeia,Lissandra,Galio,Nocturne,Akali,Urgot,LeBlanc,Jayce,Ezreal,Lucian,Lee Sin,Rakan,Camille,Gragas,Ashe,Tahm Kench,Alistar
Aatrox,Gragas,Akali,Alistar,Ryze,Rakan,Tahm Kench,Sion,Kai'Sa,Xayah,Camille,Braum,LeBlanc,Zac,Galio,Kled,Sejuani,Azir,Maokai,Yasuo
Aatrox,Heimerdinger,Vladimir,Nocturne,Lucian,Ornn,Irelia,Swain,Camille,Morgana,Rek'Sai,Zoe,Pyke,Fiddlesticks,Singed,Rakan,Tahm Kench,Dr. Mundo,Kai'Sa,Darius
Aatrox,Karma,Karthus,Neeko,Irelia,Olaf,Xin Zhao,Lux,Gragas,Yuumi,Sivir,Caitlyn,Kennen,Yasuo,LeBlanc,Gangplank,Corki,Azir,Mordekaiser,Jax
Aatrox,Karma,Taliyah,Mordekaiser,Ezreal,Rek'Sai,Yuumi,Jayce,Gragas,Lucian,Olaf,Lux,LeBlanc,Kai'Sa,Azir,Xayah,Jinx,Viktor,Sion,Corki
Aatrox,LeBlanc,Heimerdinger,Xayah,Akali,Irelia,Varus,Urgot,Ryze,Cassiopeia,Tahm Kench,Kai'Sa,Olaf,Skarner,Jax,Gragas,Camille,Ornn,Lee Sin,Rakan
Aatrox,Lucian,Tahm Kench,Akali,Zoe,Camille,Jayce,Thresh,Lissandra,Galio,Kai'Sa,Kalista,Syndra,Urgot,Lee Sin,Irelia,Jarvan IV,Ryze,Gragas,Viktor
Aatrox,Nocturne,Jayce,Taliyah,Varus,Rakan,Camille,Orianna,Trundle,Ryze,Tahm Kench,Braum,Jhin,Gnar,Ashe,Kennen,Lucian,Miss Fortune,Dr. Mundo,Darius
Aatrox,Nocturne,Renekton,Talon,Jarvan IV,Olaf,Tahm Kench,Karma,Yuumi,Rek'Sai,Sivir,Gragas,Darius,Yasuo,Mordekaiser,Jayce,Xayah,Lux,Ekko,LeBlanc
Aatrox,Nocturne,Swain,Taliyah,Kai'Sa,Zoe,Rakan,Dr. Mundo,Morgana,Sejuani,Xayah,Trundle,Darius,Ezreal,Ornn,Yasuo,Irelia,Galio,Kennen,Varus
Aatrox,Olaf,Akali,Tahm Kench,Jayce,Sylas,Corki,Karma,Draven,Yuumi,Ezreal,Thresh,Gragas,Taliyah,Sejuani,Zoe,Rek'Sai,Jarvan IV,Neeko,Kassadin
Aatrox,Olaf,Jayce,Renekton,Ezreal,Nautilus,Corki,Thresh,Sejuani,Braum,Varus,Draven,Jarvan IV,Irelia,Gragas,Qiyana,Vladimir,Sylas,Camille,Akali
Aatrox,Olaf,Tahm Kench,Alistar,Nocturne,Ornn,Kai'Sa,Xayah,Kindred,Urgot,Akali,Thresh,Shen,Lissandra,Gragas,Galio,Swain,Rakan,Xin Zhao,Sion
Aatrox,Qiyana,Ryze,Azir,Mordekaiser,Karma,Olaf,Xayah,Rakan,Lux,Sivir,Corki,Syndra,Jarvan IV,Kennen,Lee Sin,Sylas,Neeko,Jayce,Rengar
Aatrox,Qiyana,Sejuani,Yuumi,Jarvan IV,Sylas,Yasuo,Azir,Olaf,Gragas,Corki,Rakan,Lee Sin,Xayah,Karthus,Lucian,Ezreal,Kled,Elise,Jax
Aatrox,Qiyana,Twisted Fate,Yasuo,Rakan,Yuumi,Pyke,Akali,Sylas,Gragas,Kled,Xayah,Syndra,Thresh,Ezreal,Shen,Leona,Lucian,LeBlanc,Jax
Aatrox,Qiyana,Twisted Fate,Yasuo,Rakan,Yuumi,Sylas,Akali,Gragas,Kai'Sa,Kled,Jax,Skarner,Xayah,Thresh,Karma,Tristana,Sejuani,Braum,Shen
Aatrox,Qiyana,Twisted Fate,Yasuo,Rakan,Yuumi,Akali,Sylas,Gragas,Olaf,Thresh,Xayah,Kled,Gangplank,Ezreal,Jax,Shen,Syndra,Renekton,Ornn
Aatrox,Rakan,Camille,Gragas,Alistar,Kai'Sa,Varus,Ashe,Tahm Kench,Urgot,Taliyah,Olaf,Braum,Akali,Vladimir,Jayce,Ryze,Galio,Soraka,Vel'Koz
Aatrox,Rakan,Nocturne,Kai'Sa,Camille,Zoe,Taliyah,Swain,Morgana,Shen,Ornn,Dr. Mundo,Lucian,Yasuo,Ashe,Galio,Olaf,Vayne,Trundle,Draven
Aatrox,Rakan,Tahm Kench,Kai'Sa,Camille,Gragas,Alistar,Varus,Taliyah,Xayah,Ryze,Braum,Zac,Irelia,Xin Zhao,Akali,Urgot,Ornn,Nocturne,Jayce
Aatrox,Sejuani,Brand,Rakan,Braum,Nocturne,Kai'Sa,Heimerdinger,Trundle,Zoe,Tahm Kench,Yasuo,Kindred,Pyke,Skarner,Rumble,Alistar,Gragas,Gangplank,Swain
Aatrox,Sejuani,Rakan,Sona,Irelia,Draven,Yuumi,Sylas,Sivir,Ryze,Xayah,Rek'Sai,Elise,Thresh,Rumble,Blitzcrank,Pyke,Kennen,Olaf,Twisted Fate
Aatrox,Sona,Rakan,Sejuani,Sivir,Yasuo,Yuumi,Karma,Pyke,Ezreal,Akali,Twisted Fate,Jarvan IV,Shen,Rek'Sai,Lee Sin,Gragas,Irelia,Olaf,Renekton
Aatrox,Sona,Sejuani,Elise,Yuumi,Irelia,Sylas,Tahm Kench,Neeko,Jarvan IV,Sivir,Lee Sin,Braum,Ryze,Lux,Jayce,Ezreal,Rakan,Viktor,Kennen
Aatrox,Tahm Kench,Jayce,Olaf,Akali,Sylas,Yuumi,Corki,Draven,Ezreal,Neeko,Pantheon,Sejuani,Taliyah,Jarvan IV,Zoe,Rek'Sai,Gragas,Darius,Karma
Aatrox,Taliyah,Swain,Camille,Nocturne,Irelia,Kai'Sa,Lulu,Tahm Kench,Ornn,Morgana,Ezreal,Zoe,Dr. Mundo,Ryze,Singed,Olaf,Trundle,Cassiopeia,Shen
Aatrox,Trundle,Zoe,Alistar,Taliyah,Dr. Mundo,Nocturne,Swain,Pyke,Irelia,Tahm Kench,Darius,Ornn,Sejuani,Ziggs,Mordekaiser,Skarner,Ryze,Vladimir,Renekton
Aatrox,Urgot,Irelia,Xin Zhao,Braum,Akali,Rakan,LeBlanc,Xayah,Kai'Sa,Lee Sin,Nocturne,Galio,Ornn,Lissandra,Shen,Thresh,Sion,Syndra,Swain
Aatrox,Yasuo,Twisted Fate,Qiyana,Yuumi,Morgana,Rakan,Xayah,Akali,Gragas,Sylas,Thresh,Ezreal,Gangplank,Lucian,Jax,Lee Sin,Kai'Sa,Kled,Renekton
Aatrox,Yuumi,Olaf,Qiyana,Sejuani,Akali,Sylas,Gragas,Kai'Sa,Varus,Tahm Kench,Braum,Jayce,Corki,Irelia,Camille,Tristana,Kennen,Karthus,Vladimir
